specialty,category,name,cpt,id,description,special_needs
ORTHO,Knee,Total Knee Arthroplasty,27447,ORTHO001,"Total knee replacement, right knee, using cemented prosthesis","Requires fluoroscopy, orthopedic implant tray, and tourniquet"
ORTHO,Knee,ACL Reconstruction,29888,ORTHO002,"Anterior cruciate ligament reconstruction, left knee, using autograft",Requires arthroscopy equipment and graft fixation devices
ORTHO,Knee,Meniscectomy,29881,ORTHO003,"Partial meniscectomy, medial meniscus, right knee",Requires arthroscopy tower and shaver system
ORTHO,Knee,Knee Arthroscopy,29870,ORTHO004,"Diagnostic knee arthroscopy, left knee",Requires arthroscopy equipment
ORTHO,Knee,Patellar Realignment,27422,ORTHO005,"Patellar realignment for recurrent dislocation, right knee",Requires fluoroscopy and suture anchors
ORTHO,Knee,Quadriceps Tendon Repair,27385,ORTHO006,"Open repair of quadriceps tendon rupture, left knee",Requires orthopedic trauma tray
ORTHO,Knee,PCL Reconstruction,29889,ORTHO007,"Posterior cruciate ligament reconstruction, right knee",Requires arthroscopy and graft fixation
ORTHO,Knee,Knee Synovectomy,29876,ORTHO008,"Synovectomy for rheumatoid arthritis, left knee",Requires arthroscopy shaver
ORTHO,Knee,Chondroplasty,29877,ORTHO009,"Chondroplasty for cartilage defect, right knee",Requires arthroscopy equipment
ORTHO,Knee,Tibial Osteotomy,27457,ORTHO010,"High tibial osteotomy for osteoarthritis, left knee",Requires fluoroscopy and bone cutting tools
ORTHO,Hip,Total Hip Arthroplasty,27130,ORTHO011,"Total hip replacement, left hip, using uncemented prosthesis",Requires fluoroscopy and hip implant system
ORTHO,Hip,Hip Resurfacing,27125,ORTHO012,"Hip resurfacing, right hip, preserving femoral head",Requires specialized resurfacing implants
ORTHO,Hip,Hip Arthroscopy,29914,ORTHO013,"Hip arthroscopy for labral tear, left hip",Requires traction table and arthroscopy equipment
ORTHO,Hip,Femoral Fracture Fixation,27236,ORTHO014,"Open reduction internal fixation of femoral neck fracture, right hip",Requires trauma implants and fluoroscopy
ORTHO,Hip,Trochanteric Bursectomy,27062,ORTHO015,"Trochanteric bursectomy for bursitis, left hip",Requires soft tissue instruments
ORTHO,Hip,Hip Synovectomy,27054,ORTHO016,"Synovectomy for inflammatory arthritis, right hip",Requires arthroscopy equipment
ORTHO,Hip,Acetabular Repair,27132,ORTHO017,"Revision of acetabular component, left hip",Requires revision hip implant system
ORTHO,Hip,Periacetabular Osteotomy,27146,ORTHO018,"Periacetabular osteotomy for dysplasia, right hip",Requires fluoroscopy and bone cutting tools
ORTHO,Shoulder,Rotator Cuff Repair,23412,ORTHO019,"Open rotator cuff repair, right shoulder",Requires shoulder arthroscopy kit and suture anchors
ORTHO,Shoulder,Shoulder Arthroscopy,29826,ORTHO020,"Shoulder arthroscopy for impingement, left shoulder",Requires arthroscopy tower
ORTHO,Shoulder,Bankart Repair,29806,ORTHO021,"Arthroscopic Bankart repair for shoulder instability, right shoulder",Requires suture anchors and arthroscopy
ORTHO,Shoulder,Total Shoulder Arthroplasty,23472,ORTHO022,"Total shoulder replacement, left shoulder",Requires shoulder implant system and fluoroscopy
ORTHO,Shoulder,Clavicle Fracture Fixation,23515,ORTHO023,"Open reduction internal fixation of clavicle fracture, right shoulder",Requires trauma implants
ORTHO,Shoulder,Acromioplasty,23130,ORTHO024,"Acromioplasty for subacromial impingement, left shoulder",Requires arthroscopy shaver
ORTHO,Spine,Lumbar Fusion,22612,ORTHO025,"Posterior lumbar fusion, L4-L5, with instrumentation",Requires spinal implants and fluoroscopy
ORTHO,Spine,Cervical Discectomy,22551,ORTHO026,"Anterior cervical discectomy and fusion, C5-C6",Requires cervical implants and neuromonitoring
ORTHO,Spine,Laminectomy,63047,ORTHO027,"Lumbar laminectomy for stenosis, L3-L4",Requires spinal retractors and high-speed drill
ORTHO,Spine,Scoliosis Correction,22800,ORTHO028,"Posterior spinal fusion for scoliosis, T5-L1",Requires spinal instrumentation and fluoroscopy
ORTHO,Spine,Kyphoplasty,22514,ORTHO029,"Kyphoplasty for vertebral fracture, T12",Requires balloon catheter and cement kit
ORTHO,Spine,Spinal Decompression,63075,ORTHO030,"Cervical decompression for myelopathy, C4-C5",Requires neuromonitoring and spinal tray
CV,Heart,Coronary Artery Bypass,33533,CV001,"Coronary artery bypass grafting, three vessels, using saphenous vein",Requires CViopulmonary bypass machine and sternal saw
CV,Heart,Aortic Valve Replacement,33405,CV002,Aortic valve replacement with bioprosthetic valve,Requires heart-lung machine and valve prosthesis
CV,Heart,Mitral Valve Repair,33430,CV003,"Mitral valve repair for regurgitation, open approach",Requires CViopulmonary bypass and annuloplasty ring
CV,Heart,Heart Transplant,33945,CV004,Orthotopic heart transplantation,Requires transplant team and immunosuppression protocol
CV,Heart,Ventricular Assist Device,33979,CV005,Insertion of left ventricular assist device,Requires heart-lung machine and VAD kit
CV,Heart,PeriCViectomy,33030,CV006,PeriCViectomy for constrictive periCVitis,Requires CViac surgical tray
CV,Heart,Atrial Septal Defect Closure,33641,CV007,Surgical closure of atrial septal defect,Requires CViopulmonary bypass and patch material
CV,Heart,Maze Procedure,33257,CV008,Maze procedure for atrial fibrillation,Requires radiofrequency ablation tools
CV,Heart,Coronary Angioplasty,92920,CV009,"Percutaneous coronary angioplasty with stent, left anterior descending artery",Requires cath lab and stent delivery system
CV,Heart,Transcatheter Aortic Valve Replacement,33361,CV010,TAVR for aortic stenosis,Requires hybrid OR and valve delivery system
CV,Vessels,Aortic Aneurysm Repair,33860,CV011,Open repair of ascending aortic aneurysm,Requires CViopulmonary bypass and vascular grafts
CV,Vessels,Endovascular Stent Graft,34705,CV012,Endovascular repair of abdominal aortic aneurysm,Requires fluoroscopy and stent graft system
CV,Vessels,Pulmonary Embolectomy,33910,CV013,Surgical pulmonary embolectomy for massive embolism,Requires CViopulmonary bypass
CV,Vessels,Coronary Artery Ligation,33500,CV014,Ligation of anomalous coronary artery,Requires CViac surgical tray
CV,Vessels,Vascular Bypass,35556,CV015,Femoral-popliteal bypass with synthetic graft,Requires vascular grafts and Doppler ultrasound
CV,Vessels,Arterial Thrombectomy,34111,CV016,Thrombectomy of femoral artery,Requires vascular instruments and Fogarty catheters
CV,Vessels,Venous Stenting,37238,CV017,Venous stenting for iliac vein compression,Requires fluoroscopy and venous stents
CV,Vessels,Carotid Stenting,37215,CV018,Carotid artery stenting with embolic protection,Requires cath lab and embolic protection device
CV,Electrophysiology,Pacemaker Insertion,33207,CV019,"Permanent pacemaker insertion, dual chamber, right side",Requires electrophysiology suite and pacing leads
CV,Electrophysiology,Defibrillator Implantation,33249,CV020,Implantable CVioverter-defibrillator insertion,Requires EP lab and ICD device
CV,Electrophysiology,Catheter Ablation,93656,CV021,Catheter ablation for atrial fibrillation,Requires 3D mapping system and ablation catheter
CV,Electrophysiology,Electrophysiology Study,93620,CV022,Comprehensive electrophysiology study for arrhythmia,Requires EP lab and diagnostic catheters
CV,Electrophysiology,Lead Extraction,33235,CV023,Transvenous lead extraction for infection,Requires laser sheath and extraction tools
CV,Electrophysiology,CViac Resynchronization,33224,CV024,Insertion of CRT device for heart failure,Requires EP lab and CRT leads
CV,Electrophysiology,Loop Recorder Implant,33282,CV025,Implantable loop recorder for syncope monitoring,Requires local anesthesia and monitoring device
CV,Electrophysiology,Tilt Table Test,93660,CV026,Tilt table testing for vasovagal syncope,Requires tilt table and monitoring equipment
GEN,Abdomen,Appendectomy,44950,GEN001,Open appendectomy for acute appendicitis,Requires general surgical tray and suction
GEN,Abdomen,Cholecystectomy,47562,GEN002,Laparoscopic cholecystectomy for gallstones,Requires laparoscopy tower and clip appliers
GEN,Abdomen,Hernia Repair,49505,GEN003,"Inguinal hernia repair, right side, with mesh",Requires mesh and hernia repair kit
